years,c,count(loccountrycode_a)
2008,AD,68
2008,AE,309
2008,AF,561
2008,AG,44
2008,AI,18
2008,AL,262
2008,AM,70
2008,AN,16
2008,AO,61
2008,AQ,257
2008,AR,1718
2008,AS,46
2008,AT,2648
2008,AU,12800
2008,AW,39
2008,AZ,116
2008,BA,425
2008,BB,67
2008,BD,68
2008,BE,6086
2008,BF,41
2008,BG,269
2008,BH,70
2008,BI,10
2008,BJ,40
2008,BM,87
2008,BN,69
2008,BO,86
2008,BR,15669
2008,BS,70
2008,BT,110
2008,BV,24
2008,BW,35
2008,BY,230
2008,BZ,32
2008,CA,16723
2008,CC,65
2008,CF,19
2008,CG,65
2008,CH,2218
2008,CI,35
2008,CK,30
2008,CL,2097
2008,CM,20
2008,CN,3261
2008,CO,323
2008,CR,94
2008,CU,122
2008,CV,20
2008,CX,172
2008,CY,193
2008,CZ,1724
2008,DE,35744
2008,DJ,69
2008,DK,8587
2008,DM,9
2008,DO,137
2008,DZ,252
2008,EC,59
2008,EE,566
2008,EG,62
2008,EH,29
2008,ER,13
2008,ES,8978
2008,ET,40
2008,FI,5932
2008,FJ,56
2008,FK,15
2008,FM,22
2008,FO,119
2008,FR,26955
2008,FX,3528
2008,GA,17
2008,GB,21732
2008,GD,32
2008,GE,34
2008,GF,27
2008,GH,31
2008,GI,22
2008,GL,60
2008,GM,15
2008,GN,9
2008,GP,42
2008,GQ,14
2008,GR,785
2008,GT,84
2008,GU,25
2008,GW,15
2008,GY,12
2008,HK,1511
2008,HM,90
2008,HN,30
2008,HR,380
2008,HT,35
2008,HU,1491
2008,ID,46
2008,IE,1008
2008,IL,857
2008,IN,836
2008,IO,44
2008,IQ,188
2008,IR,62
2008,IS,693
2008,IT,3102
2008,JM,589
2008,JO,20
2008,JP,6115
2008,KE,23
2008,KG,50
2008,KH,91
2008,KI,9
2008,KM,14
2008,KN,12
2008,KR,3226
2008,KW,104
2008,KY,25
2008,KZ,330
2008,LA,47
2008,LB,65
2008,LC,28
2008,LI,30
2008,LK,54
2008,LR,3
2008,LS,5
2008,LT,775
2008,LU,309
2008,LV,494
2008,LY,40
2008,MA,316
2008,MC,44
2008,MD,35
2008,MG,55
2008,MH,18
2008,ML,5
2008,MM,4
2008,MN,99
2008,MO,115
2008,MP,17
2008,MQ,32
2008,MR,7
2008,MS,5
2008,MT,77
2008,MU,9
2008,MV,25
2008,MW,1
2008,MX,825
2008,MY,586
2008,MZ,7
2008,NA,18
2008,NC,38
2008,NE,77
2008,NF,10
2008,NG,60
2008,NI,14
2008,NL,4386
2008,NO,12324
2008,NP,22
2008,NR,14
2008,NU,13
2008,NZ,1803
2008,OM,47
2008,PA,273
2008,PE,211
2008,PF,29
2008,PG,38
2008,PH,320
2008,PK,137
2008,PL,13237
2008,PM,9
2008,PN,13
2008,PR,195
2008,PT,6048
2008,PW,5
2008,PY,11
2008,QA,99
2008,RE,81
2008,RO,2857
2008,RU,12908
2008,RW,40
2008,SA,406
2008,SB,21
2008,SC,39
2008,SD,14
2008,SE,18342
2008,SG,2028
2008,SH,15
2008,SI,446
2008,SJ,16
