years,iso,obesity,individuals,homicide,deppression,n_friends
2008,AF,3.6,1.84,4955.36991439,4.41874360027,1234
2009,AF,3.8,3.55,4986.2414955,4.4141712355200005,11452
2010,AF,4,4,4936.49987292,4.41798621259,14941
2011,AF,4.2,5,5019.80314738,4.4135572742499996,16830
2012,AF,4.4,5.45454545454545,5192.77399186,4.40931411641,26297
2013,AF,4.7,5.9,5564.89896057,4.40515294648,26809
2008,AL,17,23.86,77.4766963367,2.4323469597700003,560
2009,AL,17.6,41.2,67.4844126739,2.43007619036,5259
2010,AL,18.2,45,68.4235380339,2.42881521768,5814
2011,AL,18.8,49,68.4786183633,2.43096289745,6706
2012,AL,19.3,54.6559590399494,68.4793108602,2.43378567807,11145
2013,AL,19.9,57.2,68.6654296202,2.43780432531,12578
2008,DZ,22,10.18,441.384524536,3.9090511284700002,575
2009,DZ,22.7,11.23,445.23288119,3.8940797547700003,6861
2010,DZ,23.3,12.5,447.35811991,3.8884251296400003,8776
2011,DZ,24,14,451.24103317,3.8985663674999995,10261
2012,DZ,24.7,15.2280267564417,456.793256219,3.90410120759,16526
2013,DZ,25.3,16.5,465.459329475,3.91331755464,14085
2008,AD,24,70.04,0.524485635512,4.0073416343199995,153
2009,AD,24.2,78.53,0.532860447365,4.00511262711,1629
2010,AD,24.4,81,0.536278187642,3.99879454868,1714
2011,AD,24.6,81,0.540182096947,3.9997079561699995,1608
2012,AD,24.8,86.4344246167258,0.543998964996,3.99979999229,2458
2013,AD,25,94,0.545336464871,4.000870566620001,2492
2008,AO,5.6,1.9,932.985656533,4.75373419402,121
2009,AO,5.9,2.3,958.202221748,4.74805502357,2112
2010,AO,6.2,2.8,977.709654053,4.74501620925,2076
2011,AO,6.5,3.1,989.929447827,4.73660781303,1898
2012,AO,6.8,6.5,1008.85922185,4.7338466411799995,3822
2013,AO,7.1,8.9,1026.60560993,4.73469213825,3407
2008,AG,15.5,38,4.9625751101,3.09902456219,98
2009,AG,15.9,42,5.22561873667,3.0938286296,948
2010,AG,16.2,47,4.93330716281,3.08388585898,1120
2011,AG,16.7,52,4.85198602146,3.08891177523,1420
2012,AG,17.1,58,4.79147992906,3.09369634012,2347
2013,AG,17.5,63.4,4.79209835843,3.10672052943,2001
2008,AR,24.4,28.1126234799907,2282.27650535,3.8379327417899995,3615
2009,AR,24.8,34,2325.98733812,3.8339219679400003,41348
2010,AR,25.3,45,2389.1042082,3.82938414937,71401
2011,AR,25.8,51,2455.08383268,3.83064782356,109384
2012,AR,26.3,55.8,2540.7868051,3.83297147332,268027
2013,AR,26.8,59.9,2628.34144175,3.83301298394,282371
2008,AM,16.7,6.21,134.697790586,2.97128865621,130
2009,AM,17.1,15.3,132.2639539,2.97602630178,1708
2010,AM,17.5,25,127.863640884,2.98585231234,1842
2011,AM,17.9,32,126.243851893,2.99273390005,2654
2012,AM,18.3,37.5,123.918344889,3.00996238712,5092
2013,AM,18.8,41.9,117.848137991,3.02580487154,6342
2008,AU,24.6,71.67,306.518604408,5.14345530656,25651
2009,AU,25.1,74.25,309.315895155,5.12094364996,334031
2010,AU,25.6,76,307.751190722,5.10772987353,412693
2011,AU,26.2,79.4876977139029,304.709240459,5.08352320638,539830
2012,AU,26.7,79,303.817311712,5.0565753441500005,719110
2013,AU,27.3,83.453497167,299.291083856,5.02839574283,493248
2008,AT,16.9,72.87,74.3201970165,3.5425499852199995,5358
2009,AT,17.3,73.45,74.6661542362,3.53294104992,61834
2010,AT,17.6,75.17,73.6285330907,3.5140468238299998,72430
2011,AT,18,78.7399930986888,72.3430298198,3.5118098463700003,67882
2012,AT,18.4,80.0299939169903,70.5597750345,3.5040254152499997,79064
2013,AT,18.8,80.6188,69.2034303487,3.49978296962,56525
2008,AZ,15.7,17.08,336.031882637,2.80988075651,233
2009,AZ,16.2,27.4,339.848328923,2.80840451675,2978
2010,AZ,16.6,46,350.703915423,2.8060702577,3955
2011,AZ,17.2,50,359.149627661,2.81169803044,4932
2012,AZ,17.7,54.2,377.637963439,2.82245720699,7203
2013,AZ,18.2,73.000001372,388.048529616,2.83318138367,8063
2008,BS,27.6,31.54,74.9393939572,3.1642830240600004,150
2009,BS,28.1,33.88,79.5457387752,3.1500603218200003,1787
2010,BS,28.5,43,81.462040918,3.1461978819699996,2155
2011,BS,29,65,84.8588405006,3.1473855246199998,2437
2012,BS,29.5,71.7482028146963,86.4395809702,3.1494123952999997,3743
2013,BS,30,72,88.3856505877,3.1561802858199997,3452
2008,BH,25.8,51.95,22.3523602535,4.32644581532,139
2009,BH,26.2,53,22.904791032,4.27897709451,1320
2010,BH,26.6,55,23.2613633184,4.24461149945,2097
2011,BH,27.1,76.9999665032303,23.0360539822,4.22275574021,2409
2012,BH,27.6,88,23.2285272587,4.2073888156,3181
2013,BH,28.2,90.0000397,24.1771970908,4.19596621123,2771
2008,BD,2.2,2.5,4347.68796154,4.62654148346,169
2009,BD,2.3,3.1,4365.85557119,4.62548356817,1493
2010,BD,2.5,3.7,4389.98840101,4.63171475822,1657
2011,BD,2.6,4.5,4351.28896326,4.59144156052,1528
2012,BD,2.8,5,4411.22494013,4.56768623228,4506
2013,BD,3,6.63,4381.80619947,4.534365688079999,6215
2008,BB,18.9,61.4,29.8946966255,3.2871147046799996,160
2009,BB,19.4,64.7,28.9441565037,3.2871752081000003,1701
2010,BB,19.8,65.1,28.7964411652,3.28953504334,1898
2011,BB,20.4,66.5,29.4607995812,3.29127713164,1793
2012,BB,20.9,71.2,28.7619928678,3.3004314523,2463
2013,BB,21.4,71.8,28.7396940531,3.3055503694499997,2077
2008,BY,21.6,23,966.53364272,4.50349464865,471
2009,BY,21.9,27.43,942.239958914,4.48069501149,8152
2010,BY,22.3,31.8,908.614486595,4.46157175931,17643
2011,BY,22.7,39.6488956598961,889.883475796,4.4512473541799995,32137
2012,BY,23,46.91,798.962361439,4.43675624385,89437
2013,BY,23.4,54.17,731.616589323,4.42947673789,134898
2008,BE,19.5,66,166.299120473,4.40046097489,11865
2009,BE,19.8,70,164.589083455,4.43247265224,130909
2010,BE,20.1,75,162.747175743,4.46666653652,159415
2011,BE,20.4,81.6099959955952,164.662337454,4.46426005094,155572
2012,BE,20.7,80.7199905482042,161.907465019,4.4674316918,169307
2013,BE,21,82.1702,156.914707062,4.46420936861,103173
2008,BZ,20,26.3,62.1021048767,3.40236411764,93
2009,BZ,20.5,27.2,65.0860253692,3.39646022093,1125
2010,BZ,21,28.2,67.2103836412,3.3917813695100003,913
2011,BZ,21.5,30.7,70.2905000851,3.3902606655,740
2012,BZ,22,31,71.4398394685,3.39708471178,725
2013,BZ,22.5,33.6,72.7909634163,3.394441402,710
2008,BJ,7,1.85,248.255171577,4.1588928137900005,119
2009,BJ,7.3,2.24,260.31434594,4.16597058131,871
2010,BJ,7.6,3.13,270.524595406,4.16700651619,768
2011,BJ,7.9,4.14832306562512,280.811347461,4.16025918747,488
2012,BJ,8.2,4.5,291.067546408,4.16845988825,559
2013,BJ,8.6,4.9,299.999628246,4.15925091776,454
2008,BT,4.1,6.55,10.1082972598,3.7183369226100003,228
2009,BT,4.4,7.17,10.3435452458,3.70987273059,1917
