years,iso,obesity,individuals,homicide,deppression,n_users
2003,AD,22.9,13.546412876439,0.462219638197,4.037880396859999,53
2003,AE,23.4,29.4779534120864,53.2364160327,3.25152794723,74
2003,AF,2.7,0.0878912528559713,4313.34365812,4.42222184568,386
2003,AG,13.7,17.2286487816884,3.8517284567,3.13059037778,32
2003,AL,14.5,0.971900415195857,155.186880711,2.4297313873,122
2003,AM,15,4.57521722477781,123.518590766,2.95744508018,68
2003,AO,4.3,0.370682065225727,765.773058529,4.78961577816,40
2003,AR,22.1,11.9136965509954,2321.44698794,3.8579141576800002,183
2003,AT,15,42.7,78.178603974,3.6268486174,1907
2003,BA,13.4,3.96503683387051,130.166300905,2.77542070518,240
2003,BB,16.5,39.6896271159532,26.6945126741,3.27951934408,50
2003,BD,1.6,0.163877665498048,4428.29357299,4.63797239051,43
2003,BE,17.9,49.97,187.328843077,4.20873311789,4729
2003,BF,2.6,0.373440303233526,113.918540617,4.14125764034,30
2003,BG,19.6,12.04,274.76130385,2.92465605992,67
2003,BH,24,21.5549449917804,17.8954597795,4.51765458408,34
2003,BI,2.8,0.201273196735924,68.9376171905,4.51434080963,6
2003,BJ,5.7,0.951327114915695,210.48965197,4.14945002087,34
2003,BN,8.2,19.5950032207342,4.39065075453,2.92309019051,36
2003,BO,14.4,3.50859640072336,571.202455921,3.57083371571,85
2003,BR,15.9,13.2075861035303,54651.3657477,4.61423003912,4857
2003,BS,25.3,20,55.5356124103,3.19451100229,56
2003,BT,3,2.43691239949767,9.56072376338,3.7881750771999996,74
2003,BW,14.4,3.3451901740614,288.907364579,4.50178834685,30
2003,CA,22.2,64.2,491.275944213,4.064002611749999,13669
2003,CF,4.4,0.151563337940017,245.451525371,4.80698119918,8
2003,CG,5.8,0.460014186837522,167.531512921,4.79439111981,37
2003,CH,14.8,65.1,82.6420881286,4.15391138462,1334
2003,CI,5.7,0.758669629452205,357.201702371,3.7362050866099996,10
2003,CL,21.9,25.4737788864723,776.005630637,4.41348969062,571
