Year(Release_Date),Genre,Developer,count(*)
2005,Action,Valve,2
2005,Indie,"Introversion Software",2
2005,Indie,"Mark Healey",2
2005,Indie,"Spiderweb Software",1
2005,RPG,"Firaxis Games",1
2005,RPG,"Gas Powered Games",1
2005,RPG,"Spiderweb Software",1
2005,Strategy,"Introversion Software",2
2005,Strategy,"Spiderweb Software",1
2006,Action,"Arkane Studios",3
2006,Action,"Aspyr (Mac)",1
2006,Action,"Double Fine Productions",1
2006,Action,Frozenbyte,2
2006,Action,"GlyphX Games",1
2006,Action,"Gray Matter Studios",1
2006,Action,"Infinity Ward",3
2006,Action,"Naked Sky Entertainment",2
2006,Action,Neversoft,1
2006,Action,"Outerlight Ltd.",4
2006,Action,"Ritual Entertainment",3
2006,Action,"Terminal Reality",5
2006,Action,"Tripwire Interactive",1
2006,Action,Valve,2
2006,Casual,"CINEMAX, s.r.o.",4
2006,Casual,Funkitron,1
2006,Casual,"Klei Entertainment",1
2006,Casual,"PopCap Games, Inc.",17
2006,Casual,"Unknown Worlds",2
2006,Indie,"CINEMAX, s.r.o.",4
2006,Indie,"Facepunch Studios",1
2006,Indie,Funkitron,1
2006,Indie,"Introversion Software",3
2006,Indie,"Klei Entertainment",1
2006,Indie,"Naked Sky Entertainment",2
2006,Indie,"Outerlight Ltd.",4
2006,Indie,"Spiderweb Software",1
2006,Indie,"Unknown Worlds",2
2006,Racing,"Bugbear Entertainment",1
2006,Racing,SimBin,4
2006,Racing,Techland,2
2006,RPG,"Arkane Studios",3
2006,RPG,"Outerlight Ltd.",4
2006,RPG,"Spiderweb Software",1
2006,Simulation,"Facepunch Studios",1
2006,Strategy,Deepred,1
2006,Strategy,Egosoft,2
2006,Strategy,"Firaxis Games",3
2006,Strategy,Funkitron,1
2006,Strategy,"GSC Game World",2
2006,Strategy,"Introversion Software",3
2006,Strategy,"Klei Entertainment",1
2006,Strategy,"Malfador Machinations",2
2006,Strategy,PopTop,1
2006,Strategy,"Reality Pump Studios",1
2006,Strategy,"Sick Puppies",1
2006,Strategy,Sonalysts,7
2006,Strategy,"Spiderweb Software",1
2006,Strategy,"Strategy First",6
2006,Strategy,"The Creative Assembly",1
2007,Action,"2K Australia",2
2007,Action,"2K Boston",2
2007,Action,"Aspyr (Mac)",1
2007,Action,Avalanche,2
2007,Action,"Avalanche Studios",1
2007,Action,"Black Element",2
2007,Action,"CAPCOM Co., Ltd.",4
2007,Action,CDProjekt,1
2007,Action,"Crystal Dynamics",6
2007,Action,"Eidos Interactive",3
2007,Action,"Feral Interactive (Mac)",1
2007,Action,Frozenbyte,1
2007,Action,Funcom,2
2007,Action,"Gray Matter Studios",1
2007,Action,"GSC Game World",1
2007,Action,"id Software",17
2007,Action,"Infinity Ward",1
2007,Action,"IO Interactive",5
2007,Action,"Iocaine Studios",2
2007,Action,"Ion Storm",3
2007,Action,"Iron Lore Entertainment",3
2007,Action,"Mindware Studios",2
2007,Action,"Most Wanted Entertainment",2
2007,Action,"Muzzy Lane",2
2007,Action,"Pandemic Studios",2
2007,Action,"People Can Fly",3
2007,Action,"Pyro Studios",4
2007,Action,"Raven Software",4
2007,Action,Rebellion,1
2007,Action,"Relic Entertainment",5
2007,Action,"Ritual Entertainment",1
2007,Action,"Rogue Entertainment",2
2007,Action,Techland,1
2007,Action,"Telltale Games",1
2007,Action,"Troika Games",1
2007,Action,Valve,4
2007,Action,"Xatrix Entertainment",1
2007,Adventure,"CAPCOM Co., Ltd.",2
2007,Adventure,"Crystal Dynamics",4
2007,Adventure,"Feral Interactive (Mac)",1
2007,Adventure,Frogwares,1
2007,Adventure,Funcom,3
2007,Adventure,"Kheops Studio",1
2007,Adventure,"Pendulo Studios",3
2007,Adventure,"Telltale Games",1
2007,Casual,"Big Fish Games",1
2007,Casual,"Bizarre Creations",1
2007,Casual,"CINEMAX, s.r.o.",1
2007,Casual,"Elephant Games",7
2007,Casual,"Kheops Studio",1
2007,Casual,"PopCap Games, Inc.",4
2007,Casual,"R C Knight",1
2007,Casual,"Retro64, Inc.",1
2007,Casual,"SpinTop Games",2
2007,"Free to Play",Valve,1
2007,Indie,"CINEMAX, s.r.o.",1
2007,Indie,"Cryptic Sea",1
2007,Indie,"Elephant Games",7
2007,Indie,Freegamer,2
2007,Indie,"Iocaine Studios",1
2007,Indie,"Mithis Games",1
2007,Indie,"Nordic Games",1
2007,Indie,"R C Knight",1
2007,Racing,"Artematica Entertainment",1
2007,Racing,"Bugbear Entertainment",2
2007,Racing,SimBin,4
2007,RPG,"2K Australia",1
2007,RPG,"2K Boston",1
2007,RPG,"Arkane Studios",2
2007,RPG,"BioWare Corporation",1
2007,RPG,"Cyanide Studios",4
2007,RPG,Freegamer,2
2007,RPG,Frogwares,1
2007,RPG,Funcom,3
2007,RPG,"GSC Game World",1
2007,RPG,"Iron Lore Entertainment",3
2007,RPG,"Monte Cristo",2
2007,RPG,"Provox Games ",1
2007,RPG,"Triumph Studios",2
2007,Simulation,"Mithis Games",1
2007,Simulation,"Nordic Games",1
2007,Strategy,"Feral Interactive (Linux)",3
2007,Strategy,"Feral Interactive (Mac)",3
2007,Strategy,"Firaxis Games",7
2007,Strategy,"FireFly Studios",1
2007,Strategy,"GSC Game World",1
2007,Strategy,"Iocaine Studios",2
2007,Strategy,Metamorf,1
2007,Strategy,"MicroProse Software, Inc",1
2007,Strategy,"Mithis Games",1
2007,Strategy,"Most Wanted Entertainment",1
2007,Strategy,"Muzzy Lane",2
2007,Strategy,"Nordic Games",1
2007,Strategy,"Pandemic Studios",2
2007,Strategy,Petroglyph,1
2007,Strategy,PopTop,2
2007,Strategy,"Provox Games ",1
2007,Strategy,"Relic Entertainment",11
2007,Strategy,"The Creative Assembly",6
2008,Action,"Ascaron Entertainment ltd.",2
2008,Action,BioWare,1
2008,Action,"Bizarre Creations",1
2008,Action,"Bohemia Interactive",1
2008,Action,"CD PROJEKT RED",1
2008,Action,"Crackpot Entertainment",1
2008,Action,"Crystal Dynamics",2
2008,Action,"Crystal Dynamics Inc.",1
2008,Action,Crytek,6
2008,Action,"Crytek Studios",2
2008,Action,Darkworks,1
2008,Action,"Dialogue Design",3
