Year(Release_Date),Developer,Count(*)
2003,"Spiderweb Software",1
2003,"ToonTRAXX Studios",1
2003,Valve,1
2004,"Epic Games, Inc.",1
2004,Valve,7
2005,"Firaxis Games",1
2005,"Gas Powered Games",1
2005,"Introversion Software",2
2005,"Mark Healey",2
2005,"Spiderweb Software",1
2005,Valve,2
2006,"Arkane Studios",3
2006,"Aspyr (Mac)",1
2006,"Bugbear Entertainment",1
2006,"CINEMAX, s.r.o.",4
2006,Deepred,1
2006,"Double Fine Productions",1
2006,Egosoft,2
2006,"Facepunch Studios",1
2006,"Firaxis Games",3
2006,Frozenbyte,2
2006,Funkitron,1
2006,"GlyphX Games",1
2006,"Gray Matter Studios",1
2006,"GSC Game World",2
2006,"Infinity Ward",3
2006,"Introversion Software",3
2006,"Klei Entertainment",2
2006,"Malfador Machinations",2
2006,"Naked Sky Entertainment",2
2006,Neversoft,1
2006,"Outerlight Ltd.",4
2006,"PopCap Games, Inc.",17
2006,PopTop,1
2006,"Reality Pump Studios",1
2006,"Ritual Entertainment",3
2006,"Sick Puppies",1
2006,SimBin,4
2006,Sonalysts,7
2006,"Spiderweb Software",1
2006,"Strategy First",6
2006,Techland,2
2006,"Terminal Reality",5
2006,"The Creative Assembly",1
2006,"Tripwire Interactive",1
2006,"Unknown Worlds",2
2006,Valve,2
2007,"2K Australia",2
2007,"2K Boston",2
2007,"Arkane Studios",2
2007,"Artematica Entertainment",1
2007,"Aspyr (Mac)",1
2007,Avalanche,2
2007,"Avalanche Studios",1
2007,"Big Fish Games",1
2007,"BioWare Corporation",1
2007,"Bizarre Creations",1
2007,"Black Element",2
2007,"Bugbear Entertainment",2
2007,"CAPCOM Co., Ltd.",4
2007,CDProjekt,1
2007,"CINEMAX, s.r.o.",1
2007,"Cryptic Sea",1
2007,"Crystal Dynamics",6
2007,"Cyanide Studios",4
2007,"Eidos Interactive",3
2007,"Elephant Games",7
2007,"Feral Interactive (Linux)",3
2007,"Feral Interactive (Mac)",4
2007,"Firaxis Games",7
2007,"FireFly Studios",1
2007,Freegamer,2
2007,Frogwares,1
2007,Frozenbyte,1
2007,Funcom,3
2007,"Gray Matter Studios",1
2007,"GSC Game World",2
2007,"id Software",17
2007,"Infinity Ward",1
2007,"IO Interactive",5
2007,"Iocaine Studios",2
2007,"Ion Storm",3
2007,"Iron Lore Entertainment",3
2007,"Kheops Studio",1
2007,"Mercury Steam",1
2007,Metamorf,1
2007,"MicroProse Software, Inc",1
2007,"Mindware Studios",2
2007,"Mithis Games",1
2007,"Monte Cristo",2
2007,"Most Wanted Entertainment",2
2007,"Muzzy Lane",2
2007,"Nordic Games",1
2007,"Pandemic Studios",2
2007,"Pendulo Studios",3
2007,"People Can Fly",3
2007,Petroglyph,1
2007,"PopCap Games, Inc.",4
2007,PopTop,2
2007,"Provox Games ",1
2007,"Pyro Studios",4
2007,"R C Knight",1
2007,"Raven Software",4
2007,Rebellion,1
2007,"Relic Entertainment",11
2007,"Retro64, Inc.",1
2007,"Ritual Entertainment",1
2007,"Rogue Entertainment",2
2007,SimBin,4
2007,"SpinTop Games",2
2007,Techland,1
2007,"Telltale Games",1
2007,"The Creative Assembly",6
2007,"Triumph Studios",2
2007,"Troika Games",1
2007,Valve,4
2007,"Xatrix Entertainment",1
2008,"1C: Maddox Games",2
2008,"2D BOY",2
2008,"Ascaron Entertainment ltd.",2
2008,"Aspyr (Mac)",1
2008,Babylon,1
2008,"Bethesda Game Studios",1
2008,"BigAnt Studios",1
2008,BioWare,1
2008,"Bit Blot, LLC",1
2008,"Bizarre Creations",1
2008,"Blue Byte",2
2008,blurredVision,2
2008,"Bohemia Interactive",1
2008,"Bugbear Entertainment",1
2008,"Buka Entertainment",1
2008,"CD PROJEKT RED",1
2008,"CINEMAX, s.r.o.",2
2008,"Codemasters Studios",1
2008,"Crackpot Entertainment",1
2008,"Cryptic Sea",1
2008,"Crystal Dynamics",2
2008,"Crystal Dynamics Inc.",1
2008,Crytek,6
2008,"Crytek Studios",2
2008,D3,1
2008,"Dark Castle Software",2
2008,Darkworks,1
2008,"Deck 13",1
2008,Deck13,1
2008,"Dejobaan Games, LLC",2
2008,"Dialogue Design",3
2008,"Double Helix Games",1
2008,"Dylan Fitterer",2
2008,"EA Black Box",1
2008,"EA Los Angeles",1
2008,Egosoft,1
2008,Eipix,1
2008,Empires,2
2008,"Epic Games, Inc.",3
2008,"Eugen Systems",4
2008,Eurocom,1
2008,Exkee,1
2008,"EXOR Studios",1
2008,"Fakt Software",6
2008,"Firaxis Games",2
2008,Frogames,2
2008,Frogwares,4
2008,Frontier,1
2008,Frozenbyte,1
2008,"Gabriel Entertainment",1
2008,Gamebryo,1
2008,"Games Faction",2
2008,"Gas Powered Games",1
2008,"Gearbox Software",5
2008,"GSC Game World",1
2008,"Haemimont Games",1
