Year(Release_Date),Publisher(s),Count(*)
1970,"11 bit launchpad",1
1970,"11 bit studios",2
1970,"1C Company",2
1970,1C-SoftClub,2
1970,"22 Cans",1
1970,"22cans Ltd.",1
1970,2DArray,1
1970,2K,1
1970,"2K Games",3
1970,3000AD,4
1970,"505 Games",4
1970,"Abyssal Arts Ltd.",1
1970,ACE,1
1970,"Adam Wells",1
1970,"Adriaan de Jongh",1
1970,"Adult Swim Games",3
1970,"Aeria Games",1
1970,"AMPLITUDE Studios",2
1970,Anarteam,1
1970,"Anshar Studios",1
1970,Antagonist,1
1970,Array,1
1970,"Badland Studio",1
1970,"BANDAI NAMCO Entertainment",1
1970,"BDG Studios",1
1970,BeamNG,1
1970,"Best Way Soft",2
1970,"Binary Takeover",1
1970,"Bit Kid, Inc.",1
1970,"Black Pants Studio",1
1970,"Black Sheep Games",1
1970,"Black Shell Media",1
1970,"Blue Budgie Studios",1
1970,"Blue Isle Studios",1
1970,"Blue Mana Entertainment",1
1970,"Bohemia Interactive",3
1970,"Born Ready Games Ltd.",1
1970,"Boss Baddie",2
1970,"Brainy Studio LLC",1
1970,Brawsome,1
1970,"Breakout Studio",1
1970,"Buffalo Vision",1
1970,BulkyPix,1
1970,Cakewalk,1
1970,"Camel 101",1
1970,Capcom,4
1970,"CAPCOM Co., Ltd.",2
1970,"Capcom U.S.A., Inc.",3
1970,"Cardboard Utopia",1
1970,"CI Games",1
1970,CivilSavages,2
1970,"Clewcat Games",1
1970,"Coal Car Studio Ltd.",1
1970,"Code Hatch Corp",1
1970,Code}{atch,1
1970,"Coffee Stain Studios",1
1970,Contingent99,1
1970,"CrackerJack Games",1
1970,"Crytek ",1
1970,"Crytek GmbH",1
1970,"Crytivo Games",1
1970,"Cyan Worlds",6
1970,"Cyanide Studio",2
1970,"Daedalic Entertainment",4
1970,"Dagestan Technology",1
1970,"Dark Vale Games LLC",1
1970,"David S Gallant",1
1970,"Dead Mage",1
1970,"Deadline Softs",1
1970,"Deep Silver",5
1970,"Defiant Development",1
1970,Degica,2
1970,"Dejobaan Games, LLC",2
1970,"Devolver Digital",10
1970,"DEZ Studio",1
1970,"Digital Dreams V.O.F.",1
1970,Digitalmindsoft,1
1970,Disastercake,1
1970,"Doctor Entertainment",2
1970,"Doctor Entertainment AB",3
1970,"Donley Time Foundation",1
1970,"DreamSail Games",1
1970,"DrinkBox Studios",1
1970,"E&Z Studio",1
1970,Egosoft,1
1970,electrolyte,1
1970,"Emerald Activities",1
1970,"Empty Clip Studios",1
1970,"EuroVideo Medien",1
1970,Eutechnyx,1
1970,"exosyphen studios",1
1970,"Feral Interactive (Linux)",6
1970,"Feral Interactive (Mac)",6
1970,"Fermenter Games",1
1970,"Fighting Games",1
1970,"FireFly Studios",1
1970,"Focus Home Interactive",2
1970,Freekstorm,1
1970,"Frictional Games",1
1970,Frogwares,1
1970,"Fruitbat Factory",1
1970,Funkitron,1
1970,"Funktronic Labs",1
1970,"Gambitious Digital Entertainment",3
1970,GamesStarter,1
1970,"Gears for Breakfast",1
1970,"Ghost Town Games Ltd.",1
1970,"Gigatross Games",1
1970,"Green Man Loaded",1
1970,"Hanako Games",1
1970,"Happy Box Games LLC",1
1970,"Hazardous Software",2
1970,"Haze Games",1
1970,"Headup Games",1
1970,"HexWar Games",1
1970,"High Horse Entertainment",1
1970,"Honor Code, Inc.",1
1970,"House House",1
1970,"Hut 90",1
1970,"Hybriona Labs",1
1970,Hypersect,1
1970,"Iceberg Interactive",4
1970,"Incandescent Imaging",1
1970,Indievision,1
1970,"Innervision Games",1
1970,Introversion,1
1970,"Introversion Software",1
1970,INVRSE,1
1970,"iPi Soft ",1
1970,"Iteration 11",1
1970,"Jeroen Wimmers",1
1970,"Jonathan Öhrström",1
1970,Kabam,5
1970,"Kalypso Media",1
1970,"Kalypso Media Digital",3
1970,Kerberos,3
1970,"Kerberos Productions Inc.",3
1970,"Kickbomb Entertainment LLC",1
1970,"King Crow Studios",1
1970,"KISS ltd",1
1970,"Klei Entertainment",2
1970,"Kreatoriet AB",1
1970,Kumobius,1
1970,"Kyy Games",1
1970,"Lince Works",1
1970,"Linden Lab",1
1970,"Little Star Media Inc.",1
1970,"Lo-Fi Games",1
1970,LootBit,1
1970,"LudoCraft Ltd.",1
1970,"Mad Catz",1
1970,MangaGamer,1
1970,"Mega Dwarf Inc.",1
1970,"Merge Games",2
1970,"Metanet Software Inc.",1
1970,"Michael Jendryssek",1
1970,"Microsoft Studios",1
1970,"MinMax Games Ltd.",1
1970,"Mode 7",1
1970,"Mode 7 Limited",1
1970,MumboJumbo,1
1970,"Muse Games",2
1970,"Near Enough Games",1
1970,"Neko Entertainment",1
1970,"Neo Red Entertainment",1
1970,"Nexon America",1
1970,"Nexon America Inc.",1
1970,"NextGen Pants, Inc",1
1970,"Ninja Theory",1
1970,"NIS America",1
1970,Nival,1
1970,"Nordic Games",9
1970,NotGames,1
1970,"Nyu Media",3
1970,"Nyu Media Ltd",1
1970,"Oak Gear",1
1970,"One Wheel Studio",1
1970,"Orbital Speed Studio Co.,Ltd.",1
1970,"OSnap! Games",1
1970,"Other Kind Games",1
1970,"Other Ocean Interactive",1
1970,"Paradox Interactive",3
1970,"Paranoid Productions",1
1970,"Phantom Compass",1
1970,Pilgway,1
1970,"Planet Tobor",1
1970,"Playwood Project",1
1970,"Plug In Digital",2
1970,"PokerStars Mobile Limited ",1
1970,"PolyKnight Games",1
1970,"PopCap Games, Inc.",21
1970,"Proletariat, Inc.",1
1970,"PST Team",1
1970,"Puny Human",1
1970,"Puny Human Games",1
1970,"Ratalaika Games S.L.",2
1970,"Raw Fury",1
1970,Re-Logic,1
1970,Rebellion,1
1970,"Red Barrels",1
1970,"Retro Dreamer",1
1970,"Rising Star Games",1
1970,"Rival Games Ltd",1
1970,"Robotronic Games",1
1970,"Rocket-Engine Co.,Ltd.",1
1970,"Rockstar Games",8
1970,"Ronimo Games",2
1970,"Running With Scissors",1
1970,"Sakuya Games",1
1970,"Samuel Manier",1
1970,"Saved Games, Inc.",1
1970,"Sean HTCH and Joni Kittaka",1
1970,SEGA,8
1970,"Sekai Project",1
1970,"Shangri-La Game Studios Ltd",1
1970,"Siberian Digital",2
1970,"SignHead Studio",1
1970,"Sim155 Limited",1
1970,"Sixense Entertainment",1
1970,"Skymap Games",1
1970,slimefriend,1
1970,"Slitherine Ltd.",1
1970,"SOEDESCO Publishing",1
1970,"Sony Online Entertainment",4
1970,Squad,1
1970,"Square Enix",6
1970,"SQUARE ENIX, Eidos Interactive",2
1970,"Stardock Entertainment",1
1970,"Stellar Jockeys",1
1970,"Stone Blade Entertainment",1
1970,"Stumbling Cat",1
1970,STVR,1
1970,"Sunken Places",1
1970,Survios,1
1970,"Suspicious Developments",5
1970,"Tanner Thayer",1
1970,"Targem Games",1
1970,"Teotl Studios",2
1970,"The Behemoth",2
1970,"The Game Bakers",1
1970,"The Quantum Astrophysicists Guild",1
1970,"The Wave VR Inc.",1
1970,"Thiemo Bolder, ONEMANGAMES",1
1970,"Thing Trunk",1
1970,"ThirtyThree Games",1
1970,"Those Awesome Guys",1
1970,"Timothy Johnson",1
1970,"Tiny Red Camel",1
1970,tinyBuild,3
1970,"tinyBuild Games",1
1970,Tivaru,1
1970,"TopWare Interactive",1
