loccountrycode,year(timecreated),count(*)
AD,2003,53
AE,2003,74
AF,2003,386
AG,2003,32
AI,2003,21
AL,2003,122
AM,2003,68
AN,2003,23
AO,2003,40
AQ,2003,138
AR,2003,183
AS,2003,46
AT,2003,1907
AU,2003,5115
AW,2003,35
AZ,2003,77
BA,2003,240
BB,2003,50
BD,2003,43
BE,2003,4729
BF,2003,30
BG,2003,67
BH,2003,34
BI,2003,6
BJ,2003,34
BM,2003,88
BN,2003,36
BO,2003,85
BR,2003,4857
BS,2003,56
BT,2003,74
BV,2003,10
BW,2003,30
BY,2003,271
BZ,2003,51
CA,2003,13669
CC,2003,28
CF,2003,8
CG,2003,37
CH,2003,1334
CI,2003,10
CK,2003,12
CL,2003,571
CM,2003,16
CN,2003,806
CO,2003,94
CR,2003,30
CU,2003,97
CV,2003,6
CX,2003,72
CY,2003,69
CZ,2003,936
DE,2003,26340
DJ,2003,36
DK,2003,6500
DM,2003,11
DO,2003,67
DZ,2003,117
EC,2003,14
EE,2003,392
EG,2003,23
EH,2003,12
ER,2003,3
ES,2003,4184
ET,2003,23
FI,2003,3880
FJ,2003,34
FK,2003,14
FM,2003,9
FO,2003,29
FR,2003,11492
FX,2003,1897
GA,2003,11
GB,2003,12921
GD,2003,13
GE,2003,25
GF,2003,18
GH,2003,19
GI,2003,23
GL,2003,24
GM,2003,13
GN,2003,4
GP,2003,20
GQ,2003,7
GR,2003,274
GT,2003,33
GU,2003,15
GW,2003,8
GY,2003,5
HK,2003,692
HM,2003,45
HN,2003,11
HR,2003,239
HT,2003,22
HU,2003,1135
ID,2003,30
IE,2003,373
IL,2003,523
IN,2003,56
IO,2003,17
IQ,2003,94
IR,2003,38
IS,2003,596
IT,2003,1290
JM,2003,238
JO,2003,14
JP,2003,1263
KE,2003,12
KG,2003,18
KH,2003,46
KI,2003,5
KM,2003,4
KN,2003,9
KR,2003,1178
KW,2003,24
KY,2003,24
KZ,2003,160
LA,2003,29
LB,2003,24
LC,2003,14
LI,2003,16
LK,2003,16
LR,2003,5
LS,2003,5
LT,2003,170
LU,2003,78
LV,2003,66
LY,2003,23
MA,2003,63
MC,2003,23
MD,2003,29
MG,2003,17
MH,2003,8
ML,2003,6
MM,2003,4
MN,2003,29
MO,2003,30
MP,2003,9
MQ,2003,23
MR,2003,2
MS,2003,3
MT,2003,31
MU,2003,10
MV,2003,7
MW,2003,1
MX,2003,378
MY,2003,112
MZ,2003,15
NA,2003,8
NC,2003,11
NE,2003,45
NF,2003,6
NG,2003,29
NI,2003,7
NL,2003,3920
NO,2003,3857
NP,2003,14
NR,2003,8
NU,2003,8
NZ,2003,926
OM,2003,12
PA,2003,66
PE,2003,97
PF,2003,17
PG,2003,10
PH,2003,124
PK,2003,30
PL,2003,3097
PM,2003,7
PN,2003,11
PR,2003,99
PT,2003,1517
PW,2003,4
PY,2003,8
QA,2003,22
RE,2003,37
RO,2003,229
RU,2003,3063
RW,2003,9
SA,2003,26
SB,2003,12
SC,2003,18
SD,2003,9
SE,2003,13510
SG,2003,1218
SH,2003,6
SI,2003,202
SJ,2003,9
SK,2003,537
SL,2003,8
SM,2003,2
SN,2003,8
SO,2003,31
SR,2003,7
ST,2003,2
SV,2003,43
SY,2003,19
SZ,2003,9
TC,2003,4
TD,2003,13
TF,2003,16
TG,2003,18
TH,2003,94
TJ,2003,18
TK,2003,9
TM,2003,6
TN,2003,48
TO,2003,9
TP,2003,7
TR,2003,294
TT,2003,27
TV,2003,11
TW,2003,1093
TZ,2003,9
UA,2003,944
UG,2003,27
UM,2003,454
US,2003,66200
UY,2003,17
UZ,2003,44
VA,2003,108
VC,2003,17
VE,2003,221
VG,2003,17
VI,2003,95
VN,2003,139
VU,2003,14
WF,2003,17
WS,2003,6
YE,2003,13
YT,2003,4
YU,2003,152
ZA,2003,234
ZM,2003,8
ZR,2003,4
ZW,2003,122
AD,2004,112
AE,2004,202
AF,2004,802
AG,2004,65
AI,2004,44
AL,2004,260
AM,2004,106
AN,2004,34
AO,2004,88
AQ,2004,360
AR,2004,375
AS,2004,101
AT,2004,4721
AU,2004,17449
AW,2004,64
AZ,2004,161
BA,2004,416
BB,2004,113
BD,2004,110
BE,2004,8800
BF,2004,54
BG,2004,169
BH,2004,74
BI,2004,25
BJ,2004,72
BM,2004,188
BN,2004,38
BO,2004,125
BR,2004,8981
BS,2004,102
BT,2004,136
BV,2004,36
BW,2004,78
BY,2004,512
BZ,2004,89
CA,2004,27783
CC,2004,47
CF,2004,11
CG,2004,60
CH,2004,4274
CI,2004,21
CK,2004,27
CL,2004,858
CM,2004,30
CN,2004,1362
CO,2004,225
CR,2004,79
CU,2004,122
CV,2004,16
CX,2004,161
CY,2004,117
CZ,2004,1847
DE,2004,60496
DJ,2004,78
DK,2004,11089
DM,2004,11
DO,2004,77
DZ,2004,241
EC,2004,40
EE,2004,679
EG,2004,60
EH,2004,37
ER,2004,11
ES,2004,10149
ET,2004,50
FI,2004,7661
FJ,2004,77
FK,2004,23
FM,2004,18
FO,2004,97
FR,2004,34310
FX,2004,5471
GA,2004,24
GB,2004,44639
GD,2004,31
GE,2004,47
GF,2004,50
GH,2004,47
GI,2004,52
GL,2004,67
GM,2004,16
GN,2004,13
GP,2004,58
GQ,2004,14
GR,2004,993
GT,2004,71
GU,2004,49
GW,2004,10
GY,2004,20
HK,2004,1330
HM,2004,92
HN,2004,38
HR,2004,500
HT,2004,50
HU,2004,2478
ID,2004,72
IE,2004,1897
IL,2004,1365
IN,2004,283
IO,2004,38
IQ,2004,160
IR,2004,78
IS,2004,789
IT,2004,4606
JM,2004,411
JO,2004,23
JP,2004,3526
KE,2004,28
KG,2004,49
KH,2004,92
KI,2004,11
KM,2004,16
KN,2004,21
KR,2004,5768
