Publisher(s),Developer,Avg(Rating)
" Gato Salvaje S.L.","Gato Salvaje S.L.",78.0000
" GungHo Online Entertainment America, Inc.	","GAME ARTS Co., Ltd.",80.0000
" GungHo Online Entertainment America, Inc.	","SkyBox Labs",80.0000
"10tons Ltd","10tons Ltd",68.0000
"11 bit launchpad","11 bit studios",83.0000
"11 bit studios","11 bit studios",77.5000
"11 bit studios","Flow Combine",68.0000
17-BIT,17-BIT,77.0000
"1C Company","1C Company",68.6364
"1C Company",1C-Avalon,60.0000
"1C Company",1C-SoftClub,68.1667
"1C Company",1C:InoCo,69.0000
"1C Company",Apeiron,41.0000
"1C Company","Best Way",76.8000
"1C Company","Creat Studio",65.0000
"1C Company",Digitalmindsoft,74.0000
"1C Company","Haggard Games",71.6667
"1C Company",Ino-Co,67.0000
"1C Company","K-D Lab",74.5000
"1C Company","Katauri Interactive",81.0000
"1C Company","Lesta Studio",60.0000
"1C Company","Plastic Reality Technologies",54.0000
"1C Company","Sky Fallen",53.0000
"1C Company",SoftLab-NSK,61.0000
"1C Company","The Farm 51",63.0000
"1C Game Studios","1C Game Studios",74.0000
"1C Game Studios","777 Studios",74.0000
1C-777,"1C: Maddox Games",86.0000
1C-777,"777 Studios",77.0000
1C-SoftClub,"1C Company",68.6364
1C-SoftClub,1C-Avalon,60.0000
1C-SoftClub,"Best Way",80.0000
1C-SoftClub,"CD PROJEKT RED",87.0000
1C-SoftClub,Digitalmindsoft,77.0000
1C-SoftClub,"Elemental Games",68.0000
1C-SoftClub,"Flying Wild Hog",73.0000
1C-SoftClub,"Haggard Games",71.6667
1C-SoftClub,Ino-Co,67.0000
1C-SoftClub,"Katauri Interactive",76.6667
1C-SoftClub,"Lesta Studio",60.0000
1C-SoftClub,"Pendulo Studios",75.0000
1C-SoftClub,"Sky Fallen",53.0000
1C-SoftClub,"SNK Games",68.0000
1C-SoftClub,SoftLab-NSK,61.0000
1C-SoftClub,"The Farm 51",63.0000
"2D BOY ","2D BOY",90.0000
2K,"2K Australia",75.5000
2K,"Aspyr (Mac & Linux)",75.5000
2K,"Aspyr (Mac and Linux)",75.5000
2K,"Aspyr (Mac, Linux)",80.0000
2K,"Feral Interactive (Linux)",88.0000
2K,"Feral Interactive (Mac)",88.0000
2K,Firaxis,88.0000
2K,"Firaxis Games",74.6667
2K,"Gearbox Software",75.5000
2K,"Turtle Rock Studios",77.0000
2K,"YUKE’S Co., Ltd.",70.0000
"2K Games","2K Australia",93.3333
"2K Games","2K Boston",96.0000
"2K Games","2K China",88.0000
"2K Games","2K Czech",77.0000
"2K Games","2K Marin",77.0000
"2K Games","Aspyr (Mac & Linux)",89.0000
"2K Games","Aspyr (Mac)",85.0000
"2K Games","Aspyr (Mac, Linux)",90.0000
"2K Games","Digital Extremes",82.5000
"2K Games","Feral Interactive (Linux)",87.5000
"2K Games","Feral Interactive (Mac)",87.6667
"2K Games","Firaxis Games",86.1053
"2K Games","FireFly Studios",67.0000
"2K Games","Gearbox Software",75.5000
"2K Games","Irrational Games",87.5000
"2K Games","MicroProse Software, Inc",65.0000
"2K Games",PopTop,78.6667
"2K Games","Virtual Programming (Linux)",85.0000
"2K Games","Visual Concepts",90.0000
"2K Games",Yager,76.0000
"2K Games","Yager Development",76.0000
"2K Play","The Odd Gentlemen",79.0000
"2K Sports","Visual Concepts",84.3333
"2x2 Games","2x2 Games",84.0000
"3 Sprockets ","3 Sprockets",72.6667
3000AD,3000AD,47.0000
"38 Studios","38 Studios",81.0000
"38 Studios","Big Huge Games",81.0000
3909,3909,85.0000
"3D Realms (Apogee Software)","3D Realms (Apogee Software)",73.0000
"4PM GAME","Bojan Brbora",41.0000
"5 Lives Studios","5 Lives Studios",75.0000
"505 Games","EKO Software",60.0000
"505 Games","Hidden Path Entertainment",82.0000
"505 Games","OVERKILL - a Starbreeze Studio.",79.0000
"505 Games","Plastic Piranha",32.0000
"505 Games","Project Gotham",71.0000
"505 Games","Serellan LLC",34.0000
"505 Games","Starbreeze Studios AB",90.0000
"505 Games","Team Gotham",71.0000
"505 Games","THREE ONE ZERO",66.0000
"800 North and Digital Ranch","800 North and Digital Ranch",53.0000
@unepic_fran,@unepic_fran,68.0000
@unepic_fran,"Francisco Téllez de Meneses",68.0000
"A Crowd of Monsters","A Crowd of Monsters",73.0000
"AAD Productions","Alpha Wave Entertainment",65.0000
"Abbey Games","Abbey Games",75.0000
ACE,"Reality Pump Studios",75.5000
"ACE Team","ACE Team",77.0000
"Ackk Studios","Ackk Studios",57.0000
"Active Gaming Media, Inc.",NIGORO,80.0000
Activision,"Aspyr (Mac)",87.5000
Activision,Beenox,62.5000
Activision,"Bizarre Creations",76.0000
Activision,"Gray Matter Studios",87.0000
Activision,"Heavy Iron Studios",42.0000
