Year(Release_Date),Genre,Publisher(s),count(*)
2005,Action,Valve,2
2005,Indie,"Introversion Software",2
2005,Indie,"Mark Healey",1
2005,Indie,"Spiderweb Software",1
2005,Indie,Valve,1
2005,RPG,"2K Games",1
2005,RPG,"Spiderweb Software",1
2005,RPG,"Square Enix",1
2005,Strategy,"Introversion Software",2
2005,Strategy,"Spiderweb Software",1
2006,Action,Activision,5
2006,Action,"Aspyr (Mac)",1
2006,Action,"Blazing Griffin Ltd.",4
2006,Action,"Double Fine Productions",1
2006,Action,Frozenbyte,2
2006,Action,Majesco,6
2006,Action,"Naked Sky Entertainment",2
2006,Action,"Ritual Entertainment",3
2006,Action,"Tripwire Interactive",1
2006,Action,Ubisoft,3
2006,Action,Valve,2
2006,Casual,Funkitron,1
2006,Casual,"Klei Entertainment",1
2006,Casual,Meridian4,4
2006,Casual,"PopCap Games, Inc.",17
2006,Indie,"Blazing Griffin Ltd.",4
2006,Indie,Funkitron,1
2006,Indie,"Introversion Software",3
2006,Indie,"Klei Entertainment",1
2006,Indie,Meridian4,4
2006,Indie,"Naked Sky Entertainment",2
2006,Indie,"Spiderweb Software",1
2006,Indie,Valve,1
2006,Racing,SimBin,4
2006,Racing,"Strategy First",1
2006,Racing,Techland,2
2006,RPG,"Blazing Griffin Ltd.",4
2006,RPG,"Spiderweb Software",1
2006,RPG,Ubisoft,3
2006,Simulation,Valve,1
2006,Strategy,"2K Games",4
2006,Strategy,ACE,1
2006,Strategy,Egosoft,2
2006,Strategy,Funkitron,1
2006,Strategy,"GSC Game World",2
2006,Strategy,"Introversion Software",3
2006,Strategy,"Klei Entertainment",1
2006,Strategy,SEGA,1
2006,Strategy,"Spiderweb Software",1
2006,Strategy,"Strategy First",17
2006,Strategy,"Topware Interactive",1
2007,Action,"2K Games",2
2007,Action,Activision,2
2007,Action,"Aspyr (Mac)",1
2007,Action,Atari,3
2007,Action,"Bohemia Interactive",1
2007,Action,Capcom,4
2007,Action,"Feral Interactive (Mac)",1
2007,Action,Frozenbyte,1
2007,Action,Funcom,2
2007,Action,"GSC Game World",1
2007,Action,"HD Publishing",2
2007,Action,"id Software",26
2007,Action,"Merge Games",4
2007,Action,Meridian4,1
2007,Action,"Nordic Games",10
2007,Action,Rebellion,1
2007,Action,SEGA,4
2007,Action,"Square Enix",13
2007,Action,"SQUARE ENIX, Eidos Interactive",19
2007,Action,"Strategy First",2
2007,Action,Techland,1
2007,Action,"Telltale Games",1
2007,Action,THQ,1
2007,Action,Valve,4
2007,Adventure,Capcom,2
2007,Adventure,"Feral Interactive (Mac)",1
2007,Adventure,"Focus Home Interactive",4
2007,Adventure,Funcom,3
2007,Adventure,"Nordic Games",1
2007,Adventure,"Square Enix",2
2007,Adventure,"SQUARE ENIX, Eidos Interactive",4
2007,Adventure,"Telltale Games",1
2007,Casual,Activision,1
2007,Casual,"Big Fish Games",1
2007,Casual,Meridian4,8
2007,Casual,"Nordic Games",1
2007,Casual,"PopCap Games, Inc.",7
2007,"Free to Play",Valve,1
2007,Indie,Atari,1
2007,Indie,"Chronic Logic",1
2007,Indie,"HD Publishing",1
2007,Indie,Meridian4,10
2007,Indie,"Nordic Games",1
2007,Racing,SimBin,4
2007,Racing,"Strategy First",3
2007,RPG,"2K Games",1
2007,RPG,"Arkane Studios",2
2007,RPG,"BioWare Corporation",1
2007,RPG,Codemasters,2
2007,RPG,"Electronic Arts",1
2007,RPG,"Focus Home Interactive",6
2007,RPG,Funcom,3
2007,RPG,"GSC Game World",1
2007,RPG,Meridian4,2
2007,RPG,"Monte Cristo",1
2007,RPG,"Nordic Games",4
2007,Simulation,"HD Publishing",1
2007,Simulation,"Nordic Games",1
2007,Strategy,"2K Games",10
2007,Strategy,Atari,2
2007,Strategy,"Feral Interactive (Linux)",3
2007,Strategy,"Feral Interactive (Mac)",3
2007,Strategy,"GSC Game World",1
2007,Strategy,"HD Publishing",2
2007,Strategy,"Nordic Games",5
2007,Strategy,SEGA,15
2007,Strategy,"Strategy First",2
2007,Strategy,THQ,3
2008,Action,"1C Company",1
2008,Action,1C-SoftClub,2
2008,Action,Activision,1
2008,Action,Atari,4
2008,Action,"Bohemia Interactive",1
2008,Action,"CD PROJEKT RED",1
2008,Action,Egosoft,1
2008,Action,"Electronic Arts",8
2008,Action,Empires,2
2008,Action,"Epic Games, Inc.",3
2008,Action,Frogames,2
2008,Action,Frozenbyte,1
2008,Action,"Games Faction",2
2008,Action,"GSC World Publishing",1
2008,Action,"InterWave Studios",1
2008,Action,ISOTX,1
2008,Action,Meridian4,7
2008,Action,"Missing Link Games",1
2008,Action,Moonpod,4
2008,Action,"New World Interactive",1
2008,Action,"Nordic Games",2
2008,Action,"Rockstar Games",7
2008,Action,SEGA,2
2008,Action,"SouthPeak Games",3
2008,Action,"Square Enix",3
2008,Action,"SQUARE ENIX, Eidos Interactive",5
2008,Action,"Strategy First",3
2008,Action,"Tripwire Interactive",1
2008,Action,Ubisoft,30
2008,Action,ValuSoft,1
2008,Action,Valve,2
2008,Action,"Warner Bros. Interactive Entertainment",1
2008,Action,"Zombie Panic Team",1
2008,Adventure,"1C Company",1
2008,Adventure,1C-SoftClub,1
2008,Adventure,Deck13,1
2008,Adventure,"Focus Home Interactive",2
2008,Adventure,Frogwares,2
2008,Adventure,"Hothead Games",4
2008,Adventure,"Konami Digital Entertainement GmbH",1
2008,Adventure,"Konami Digital Entertainment, Inc.",1
2008,Adventure,"Missing Link Games",1
2008,Adventure,"Oddworld Inhabitants",4
2008,Adventure,"Rockstar Games",2
2008,Adventure,"Silver Sphere Studios",2
2008,Adventure,"SouthPeak Games",1
2008,Adventure,"Square Enix",1
2008,Adventure,"SQUARE ENIX, Eidos Interactive",1
2008,Adventure,"Strategy First",2
2008,Adventure,"Telltale Games",7
2008,Adventure,Ubisoft,8
2008,Adventure,ValuSoft,1
2008,Adventure,"Warner Bros. Interactive Entertainment",1
2008,Casual,blurredVision,2
2008,Casual,"CINEMAX, s.r.o.",2
2008,Casual,D3Publisher,1
2008,Casual,"D3Publisher of America, Inc.",1
2008,Casual,"Dark Castle Software",2
