Developer,count(*)
" Cornfox & Brothers Ltd.",1
.dat,3
"07th Expansion",2
"08 Games",1
0Bennyman,1
"10th Art Studio",2
"10tons Ltd",5
"11 bit studios",8
"12 Hit Combo",1
"1337 & Senri AB",1
"14Dimension Enterprise",2
"14° East",1
"16bit Nights",2
16bitarena.com,1
17-BIT,2
17Studio,1
"1C Company",15
"1C Game Studios",1
"1C Wireless",3
1C-Avalon,1
1C-SoftClub,4
"1C: Maddox Games",3
1C:InoCo,9
"1CC Games",2
"2 Dawn Studios",1
"2 Player Productions",2
"2 players",1
2015,1
"2020 Venture",1
"214 Films",1
22cans,2
"24 Caret Games",1
"251 Games",1
"29Palms Scenery Design",1
"2Awesome Studio",1
"2by3 Games",3
"2Chance Projects",1
"2D BOY",2
"2D Heroes",1
2DArray,2
2DEngine,3
2DEngine.com,1
"2K Australia",10
"2K Boston",2
"2K China",1
"2K Czech",4
"2K Marin",5
2Play,1
2SD,2
"2x2 Games",4
"3 Fright",1
"3 Sprockets",3
"30.06 Studios Ltd",1
3000AD,14
"3100 games",1
"314 Arts",1
"343 Industries",2
34BigThings,1
"38 Studios",5
3909,1
"3D Realms",6
"3D Realms (Apogee Software)",13
3DDUO,4
"3Dflow SRL",1
3Division,5
"3f Interactive",2
3xBlast,1
"4 Door Lemon",1
"4 Head Studios",2
"4 I Lab",1
"4-Panel Footprint",2
"48h Studio",1
"49 Games",2
"4A Games",11
"4Bit Games",1
4EdgesGames,1
"4Flash Interactive",1
"4Friends Games",1
4gency,1
"4Head Studios",2
4Nation5,1
4NetGames,1
4Realms,1
4sdk,1
"4th cluster",1
"5 Ants",1
"5 Bits Games",1
"5 Lives Studios",4
"505 Games",3
"55 Revolver",1
5DayStudio,1
"5th Cell Media",2
5Wolf,1
6955,1
"7 Raven Studios",1
"7 Soft Pillows",2
773,3
"777 Studios",11
"8-Bit Studio",1
"800 North and Digital Ranch",3
"8888888 LABS",1
88mm,2
"89AM Studio",2
"8D Studio",1
8Floor,2
8i,1
"8monkey Labs",2
"8th Floor Games",1
9.ar7k,1
"9heads Game Studios",3
"?? (Meng Ye)",1
???,1
"???? (WeShare Games)",2
"?????? ??????",1
???????,3
??????????,2
"?????????? ????",1
"?????????? ?????",1
????A,1
"???× (Miwashiba)",1
@unepic_fran,2
"A Barnett",1
"A Bunch of Us",1
"A Crowd of Monsters",5
"A Jolly Corpse",2
"a REGULAR GAMER",1
"A Sharp, LLC",1
"A Stranger Gravity",2
"A.J Starkey Enterprises",2
"A2A Simulations",5
"AAA Internet Publishing, Inc. (DBA WTFast)",1
"AAD Productions",1
"Aardman Animations",1
"Aaron Arcand",1
"Aaron Dordi",1
"Aaron Oldenburg",1
"Aaron Smith",1
Aartform,1
"Aartform Games",1
"Abbey Games",2
"Abnormal Software",1
"Above and Beyond Technologies",2
"Abraham Carreola",1
"Abrakam SA",1
"Abrupt Games",1
"Absolutist Ltd.",3
"Absorb Reality",1
"Abstract Tree Studio",1
Abstraction,1
"Abstraction Games",6
"Abyss Studios",1
"Abyssal Arts Ltd.",1
"Acceleroto, Inc.",2
"Access Games",16
"Access Software",5
"Acclaim Studios Teeside",1
Accolade,2
"Accolade, Inc",1
"Accolade, Inc.",3
"ACD Systems International Inc.",1
"ACE MADDOX",2
"ACE Team",7
AceGamer,1
Achebit,1
"Acid Nerve",2
"Acid Wizard Studio",1
"Acido Cinza",1
"Ackk Studios",1
Acquire,9
"ACQUIRE Corp.",16
"Act Naturally Productions, LLC",1
Actalogic,6
"Actoz Soft",12
"Actual Tools",1
"Acuze Interactive",1
"Adam DeLease",1
"Adam Foster",1
"Adam McLellan",1
"Adam Mowery",1
"Adam Saltsman",1
"Adam Spragg",1
"Adam Tarnowski",1
"Adam Wells",1
"Adham Jaber",1
"Adhesive Games",3
"Adhoc Games",3
"Adriaan de Jongh",1
"Adrian Zingg",1
"Aduge Studio",1
"Advent RPG",1
"Adventure Mob",1
"Adventure Planning Service",4
"Adventure Productions",2
AdventurePlanningService,1
"Adventurepro Games LLC",1
"Adventurous Productions",1
"Aegon Games",1
"Aeonic Entertainment",2
"Aera Studios",1
"Aeroplane Heaven",2
Aerosoft,2
"Aerosoft GmbH",13
"Aesir Interactive",1
"Afrobeast Games",1
"Afterthought Studios",1
AGC,1
Ageod,18
"Agharta Studio",1
"AGO Games",1
AHEARTFULOFGAMES,1
"Airship Syndicate",1
"Airtight Games",6
"Airtight Games, Inc",1
"Airys Software",1
aiueoKompany,3
"Aivaras Klimas",2
"AIVIK LLC",1
"AK Games",1
AKABEiSOFT2,2
"Akakiy Petrushkin",1
Akella,4
AKGames,2
Alabeo,6
"Alan Edwardes",1
"Alan Hazelden",2
"Alan Zucconi",2
"Alasdair Beckett-King",1
"Alastair John Jack",2
Alawar,19
"Alawar Dreamdale",2
"Alawar Entertainment",24
"Alawar Stargaze",3
"Albert Espín",1
"Albert Fernandez",1
"Albin Bernhardsson",1
"Alda Games",1
"Alder Games",2
"Aldin Dynamics",1
"Aldorlea Games",30
"Aleksander Ciesielski",1
"Aleksey Abramenko",2
"Alex Jedraszczak",1
"Alex Quick",1
"Alex Williams",1
"Alex Woodcock",1
"Alex Zhang",1
"Alexander Bruce",1
"Alexander Byzov",4
"Alexander Chipurnykh",1
"Alexander Mirdzveli",1
"Alexander Poysky",2
"Alexandr Kataev",1
"Alexandr Lavelin",1
"Alexandre Fontoura",1
"Alexej Perevosnikov",1
"Alexey Bokulev",3
"Alexey Bokulev / Snowbird Games",1
"Alexey Davydov",4
"Alfred Lam",1
"Aliasworlds Entertainment",1
"Alice & Smith",4
"ALICE IN DISSONANCE",6
"Alien Sync Interactive",1
Alientrap,9
"Alientrap Games Inc",2
"AlikArt Studio",1
"Alister Software",2
Alkemi,3
"All Civilized Planets",1
"All Seeing Eye Games",2
AllAboard,2
"AllAboardRails / JustTrains",2
Allegorithmic,9
"Allen Dayan",1
Allgraf,1
"Allicorn Games",2
"Alligator Pit",1
"ALLPlayer Group Ltd.",1
"Almost Human Games",2
"alpha six productions",2
"Alpha Wave Entertainment",2
AlphaNuts,2
Alpheratz*,1
"AlPixel Games",2
"Alrauna Studios",1
"Altar Games",3
"ALTAR Interactive",2
"Alternative Dreams",1
"Alternative Software Ltd",5
Altfuture,1
"AltImage Games",1
"AltspaceVR, Inc.",1
"Alzan Studios, LLC",1
AMA,1
"Amanita Design",7
"Amaranth Games",2
"Amaranth Games, LLC",5
Amaze,1
"Amazing Atom",1
"Ambient Design Ltd.",1
"Ambiera e.U.",3
Amegami,1
"Americo Mateus Rodrigues",1
"Amethyst Quarter",1
"AMPLITUDE Studios",17
amulware,1
"Amund Farifteh",1
"Anarchy Enterprises",7
"Anarchy Interactive",1
"Anarkis Gaming",1
Anarteam,1
"Anatoliy Loginovskikh",1
"Anchora Games",1
"Andre Bertaglia",1
"Andre Chagas Silva",2
"Andreas Stieger",2
Andrettin,3
"Andrew Hulshult",1
"Andrew Jr.",1
"Andrew Lloyd",1
"Andrew Morrish",1
"Andrew Rowe",1
"Andrew Thomas",1
"Andrew Willman",1
"AndrewDrumov, Sanke Berdochan",1
AndrewMD5,2
AndrewWatt96,1
"Andrey Rumak",1
"Andrii Vintsevych",4
"Andy Wallace",2
Anea_Duo_Dev,1
"Angels Blue Digital Entertainment",5
"Angry Engineers Entertainment",1
"Angry Mob Games",1
"Angry Toad Studios",1
"Angry Video Game Nerd Movie, LLC",1
"Anima Locus",1
"Anima Project",1
"Animate Objects",1
"Animation Arts",7
"Animation Arts GmbH",1
"Animation Catalyst",1
"Animation F/X",1
Animootor,1
"Animu Game",3
"Animus Interactive Inc",1
"Anino Games",1
Aniode,1
"Anisoptera Games",2
Ankama,2
"Ankama Animation",1
"Ankama Animations",4
"Ankama Canada",1
"Ankama Play",3
"Ankama Studio",21
"Anne Mönkkönen",1
"Another Yeti",1
Anothink,1
ANPA.US,12
"Anshar Studios",1
"Ansimuz Games",1
"Ant Workshop Ltd",3
Antagonist,1
"Antanas Marcelionis",2
"Anteater Games",1
"Anthony Case",3
"Anthony KOZAK",1
"Anthony Rotondo",2
"Anthony Septim",2
"Anti Crunch Studios",2
"Anti Matter Games",1
Anticto,2
Antinomia,1
Antiproto,1
"Antonio Carcagnì",1
"Antonio Renna",1
"Antti Vaihia",1
Anuman,18
"Anuman / Microids",5
"Anuman Interactive",3
"Anvate Games",4
"Anvil Drop, LLC",1
Anvil-Soft,1
"AOS GAME",1
"Apar Games",1
"APAS games",1
"ApathyWorks, LLC",1
"Ape Law",3
Apeiron,3
"Aperture Tag Team",1
app2fun,2
"Apparition Games",1
"APPIDEMIC Studios",1
"Application Systems Heidelberg",1
Appmania,1
Appmania/i-Free,1
"Appsolutely Studios",1
"AppyArt Games",1
"Apus Software",4
"Aqualuft Games",2
"Aquiris Game Studio",1
"Arachnid Games",1
"Arai Koh Create Office",1
"Aratog LLC",7
"Arberth Studios",1
"Arbor Sheep",1
"Arboreal Games",1
"Arc System Works",13
"Arc System Works Co., Ltd.",4
Arc-gen,1
"Arcade Zone",1
"Arcane Four Studios",1
"Arcanity Inc",1
"Arcen Games, LLC",22
Archeia,2
"Archetype Global",2
"Archive Entertainment",4
"Arctic Anteater",1
