Publisher(s),count(*)
"  Milestone S.r.l.",1
" Big Fish Games",1
" Disney Interactive",1
" Gaming Corps AB",1
" Gato Salvaje S.L.",1
" GungHo Online Entertainment America, Inc.	",1
" Slitherine Ltd",1
"10tons Ltd",4
"11 bit launchpad",1
"11 bit studios",11
"1337 Games",3
"14 Hours Productions",1
"14Dimension Enterprise",2
16bitarena.com,1
17-BIT,2
17Studio,1
"1? Company",1
"1C Company",86
"1C Game Studios",1
"1C Online Games",11
1C-777,12
1C-SoftClub,44
"2 Dawn Studios",1
"2020 Venture",1
20Tab,1
"22 Cans",1
22cans,1
"22cans Ltd.",1
"24 Caret Games",1
"2Awesome Studio",1
"2Brains Games",1
"2Chance Projects",1
"2D BOY ",2
"2D Heroes",1
2DArray,1
2DEngine,3
2K,41
"2K Games",121
"2K Play",2
"2K Sports",3
2Play,1
2tainment,4
"2x2 Games",3
"3 Fright",1
"3 Sprockets ",3
30/30,1
3000AD,16
"3100 games",1
"314 Arts",1
"38 Studios",4
3909,1
3BLACKDOT,2
"3D Realms",2
"3D Realms (Apogee Software)",27
"3Dflow SRL",1
3Division,1
"3f Interactive",2
"4 I Lab",1
"4-Panel Footprint",1
"4Bit Games",1
4NetGames,1
"4PM GAME",1
4Realms,1
4sdk,1
"5 Lives Studios",1
"505 Games",56
"505 Games Mobile",1
"505 Games US",1
"505 Mobile Games",1
5DayStudio,1
5Wolf,1
"7 Soft Pillows",1
7Sixty,1
"8-Bit Studio",1
"800 North and Digital Ranch",1
"82 Apps",2
"8888888 LABS",1
"89AM Studio",2
"8D Studio",1
8Floor,15
8i,1
"9heads Game Studios",3
"?? (Ju Cai)",2
"???? (WeShare Games)",2
@unepic_fran,2
"A Crowd of Monsters",3
"A Jolly Corpse",1
"a REGULAR GAMER",1
"A Stranger Gravity",2
"A Sweet Studio",1
"A.J Starkey Enterprises",1
"AAA Internet Publishing, Inc. (DBA WTFast)",1
"AAD Productions",5
"Aardman Animations",1
"Aaron Dordi",1
"Aaron Legault",1
Aartform,1
"Aartform Games",1
"Abbey Games",2
"Abnormal Software",1
"Above and Beyond Technologies",2
"Abrakam SA",1
"Abrupt Games",1
"Absolutist Ltd.",5
"Abstract Tree Studio",1
"Abyss Lights Studio LLP",5
"Abyss Studios",1
"Abyssal Arts Ltd.",1
"Acceleroto, Inc.",2
"ACD Systems International Inc.",1
ACE,6
"ACE MADDOX",3
"ACE Team",2
AceGamer,1
"Acid Wizard Studio",1
"Ackk Studios",1
"Active Gaming Media, Inc.",4
Activision,227
"Actual Tools",1
"Acuze Interactive",1
"Adam DeLease",1
"Adam Foster",1
"Adam McLellan",1
"Adam Mowery",1
"Adam Spragg",1
"Adam Tarnowski",1
"Adam Wells",1
adamgryu,1
"Addicting Games",1
"Adham Jaber",1
"Adhoc Games",3
"Admax Game",1
Adminde,1
"Adminde Ltd",1
"Adriaan de Jongh",1
"Adult Swim Games",21
"Advent RPG",1
"Adventure Mob",1
"Adventure Productions",2
"Adventurepro Games LLC",1
"Aegon Games",1
"Aeonic Entertainment",2
"Aera Studios",1
"Aeria Games",13
"Aeria Games Europe GmbH",1
Aerosoft,1
"Aerosoft GmbH",56
"Afrobeast PTY. LTD.",1
"Afterthought Studios",3
AGC,1
"Age of Fear",2
"Agent Mega",2
"Agharta Studio",1
"AGM PLAYISM",58
"AGO Games",1
AHEARTFULOFGAMES,1
"Airys Software",2
AJTilley.com,4
AKABEiSOFT2,1
Akella,10
AKGames,2
"Aksys Games",2
"Alan Edwardes",1
"Alastair John Jack",1
"Alawar Entertainment",14
"Albert Espín",1
"Alda Games",1
"Aldin Dynamics",1
"Aldorlea Games",54
"Aleksey Abramenko",1
"Alex Jedraszczak",1
"Alex Woodcock",1
"Alex Zhang",1
"Alexander Byzov",4
"Alexander Chipurnykh",1
"Alexander Mirdzveli",1
"Alfred Lam",1
"Alice & Smith",4
Alientrap,9
"Alientrap Games Inc",2
"AlikArt Studio",1
"Alister Software",1
Alkemi,2
"All Civilized Planets",1
"All Seeing Eye Games",2
Allegorithmic,7
"Allen Dayan",1
"ALLPlayer Group Ltd.",1
"Almost Human Games",2
Alpheratz*,1
"Alternative Software Ltd",8
Altfuture,1
"AltImage Games",1
"AltspaceVR, Inc.",1
"Alzan Studios, LLC",1
"Amanita Design",6
"Amaranth Games",1
"Ambient Design Ltd",1
"Ambiera e.U.",3
"Amethyst Quarter",1
"Amnia Interactive Inc.",1
"AMPLITUDE Studios",17
amulware,1
"Amund Farifteh",1
"Analgesic Productions",1
"Analgesic Productions LLC",1
"Anarchy Enterprises",7
"Anarchy Interactive",1
"Anarkis Gaming",1
Anarteam,1
"Anatoliy Loginovskikh",1
"Anchora Games",1
"Andrés Calva",1
Andrettin,3
"Andrew Rowe",1
"Andrew Willman",1
AndrewDrumov,1
AndrewWatt96,1
"Andrii Vintsevych",4
"Andy Wallace",1
"Angry Cat Ltd.",1
"Angry Engineers Entertainment",1
"Angry Mob Games",1
"Angry Toad Studios",1
"Anima Locus",1
"Animakemu Games",1
"Animate Objects",1
"Animation Catalyst",1
Animootor,1
"Animu Game",2
"Animus Interactive Inc",1
Aniode,1
Ankama,3
"Ankama Animation",1
"Ankama Animations",4
"Ankama Games",22
"Another Yeti",1
Anothink,1
ANPA.US,12
"Anshar Studios",1
"Ansimuz Games",1
"Ant Workshop Ltd",2
Antagonist,1
"Antanas Marcelionis",2
"Anteater Games",1
"Anteater Games, EQ-Games",1
"Anti Crunch Studios",1
Anticto,1
Antiproto,1
"Antonio Renna",1
"Antti Vaihia",1
"Anuman Interactive",1
"Anvate Games",4
"Anvil Drop, LLC",1
Anvil-Soft,1
"AOS GAME",1
"APAS games",1
"ApathyWorks, LLC",1
"Ape Law",1
"Aperture Tag Team",1
"Apogee Software",3
"Apparition Games",1
"APPIDEMIC Studios",1
"Application Systems Heidelberg",3
"Appsolutely Studios",1
"Aqualuft Games",2
"Aquiris Game Studio",1
"Arachnid Games",1
"Arboreal Games",1
"Arc System Works",7
Arc-gen,1
"Arcane Four Studios",1
"Arcanity Inc",1
"Arcen Games",4
"Arcen Games, LLC",21
"Archetype Global",1
"Archive Entertainment",2
"Arctic Anteater",1
"Arctic Hazard Game Studio a/s",1
ArcticFox223,1
"Argonauts Interactive",2
"Argus Games",4
"Aric Morrow",1
Aries-Lenov,1
"Arkane Studios",2
"Armature Studio, LLC",1
"Armature Studio, LLC.",2
"Armor Games",3
Array,6
ArrowGroundGames,1
"Ars Creativa",2
Art-Pulsar,1
"ARTE France",1
"Artem Bondin",1
"Artem Kotov",2
ArtemizGame,1
"Artery Games",5
"Artery Studios",2
"Arthur Kariev",2
"articy Software GmbH & Co. KG",3
"Artifex Mundi",30
"Artifex Mundi sp. z o.o.",11
"Artifice Studio",3
Artisiti,1
"Artizens, Inc.",2
Artnumeris,1
Artplant,1
"Artur Games",2
"ASBO Interactive",1
"Aslan Game Studio",1
ASoundEffect.com,11
"Aspyr ",5
"Aspyr (Mac & Linux)",41
"Aspyr (Mac and Linux)",3
"Aspyr (Mac)",27
"Aspyr (Mac, Linux)",22
"Aspyr (Mac,Linux)",1
"Aspyr Media, Inc.",5
"Asteristic Game Studio",1
"Asteroid Base",1
"Astra Game Studio",1
"astragon Entertainment GmbH",15
"astragon Sales & Services GmbH",1
"astragon Software GmbH",4
"Astral Byte",2
Astrosimer,1
Astrosnout,1
Atapki,1
Atari,40
"Atari Inc.",1
"Atelier 801",1
"Aterdux Entertainment",3
"Atlinks Corporation",1
ATLUS,10
"Atlus U.S.A., Inc. ",1
"Atom Republic",1
"Atomic VR Inc.",1
"AtomicTorch Studio",2
Atriagames,4
"Atypical Games",1
"Augusta Software GmbH",1
"Aundre Rogers",1
AuraLab,1
"Auroch Digital",2
Autarca,1
Autodesk,2
"Automata Source",1
"Autotivity Entertainment",1
"Autumn Games",8
"Avalanche Studios",2
"Avanquest Software Publishing Ltd",1
"Avatar Creations",3
AVE,1
"Avenged Sevenfold",1
Aventurine,1
"Avidly Wild Games",1
AvrDragon,2
"Awesome Games Studio",3
AwesomeBlade,1
AweSwan,1
"Awfully Nice Studio",1
"Awfully Nice Studios",1
"Awoker Games",1
"Axed Game Studio",1
"Axel Shokk",1
"Axis Game Factory",3
"Axis Game Factory LLC",5
"Axis Game Factory, Inc.",1
"Axis Game Factory, LLC",1
"Axis Games",3
"Axolot Games",1
"Axyos Games",1
"Ayyo Games",1
b,1
"b-alive gmbh",13
"BA Productions LLC",2
"Back To Basics Gaming",19
"Backstab Games",1
"Backward pieS",1
"Bacq Stellan",2
"Bad Seed",1
"BadFly Interactive, a.s.",2
Badim,1
"Badland Games",2
"Badland Indie",3
"Badland Studio",1
"Baggy Cat",1
"Bakershah Games",1
"baKno Games",1
"Balcony Team",1
"Baller industries",2
"Ballistic Frogs",1
"BANDAI NAMCO Entertainement",2
"BANDAI NAMCO Entertainment",82
"BANDAI NAMCO Games",23
"BANDAI NAMCO Games Europe",1
Bandello,2
"Bankroll Studios",1
"Bare Mettle Entertainment",1
"Barkalar Games",2
"Barnstorm Games",1
"Barnyard Intelligence Games",1
"Baroque Decay",1
"Bartosz Bojarowski",1
"Basaltic studio",1
"Basecamp Games",2
"Basilisk Games",4
"Bat Country Games, LLC",1
"Batholith Entertainment",2
"Batterystaple Games",1
"Battlebard Games",1
BattleByte,1
"BattleGoat Studios",3
"Batu Games LLC",1
"BBC Worldwide",1
"BBEW BBEW LLC",1
"BBEW BBEW, LLC",2
"BBQ Games",1
"BDG Studios",1
"Beach Interactive",1
"Beam Team Pty Ltd",1
Beamdog,4
BeamNG,1
"Beast Mode Games",2
"Beatnik Games",2
Beatshapers,1
"BeautiFun Games",2
"Bedtime Digital Games",2
"Behaviour Digital",1
"Behold Studios",2
"Behtam Developer",1
"Beldarak Games",1
"Ben 'Yahtzee' Croshaw",1
"Ben Prunty Music",1
"Benjamin Bryant",1
"Benjamin Lapid",1
"Benjamin Rivers",1
"Benji Bananas",1
benmakesgames.com,1
BernhardM,1
"Bernt Andreas Eide",1
"Berserk Games",4
"Best Gaem Studio",1
"Best Way Soft",18
BetaDwarf,2
"Betelgeuse Zero",1
"Bethesda Game Studios",1
"Bethesda Softworks",53
"Beyond Technical",1
beyondthosehills,1
"Biart Company LLC",4
"Big Ant Studios",5
"Big Ant Studios (Steam)",2
"Big Fat Alien",1
"Big Fat Simulations Inc.",4
"Big Fish Games",22
"Big Fish Games, Inc.",1
"Big Robot Ltd",2
"Big Sandwich Games",4
"Bigben Interactive",13
"Bigger Boat",3
Bigosaur,1
"BigScreen, Inc.",1
BigSims.com,8
"Bigzur Games",1
"Bill and Eli Productions",1
"Binary Cocoa",1
"Binary Fortress Software",2
"Binary Takeover",3
"BioWare Corporation",1
"BISBOG SA",1
Bisonia,1
"Bit Blot, LLC",1
"Bit Kid, Inc.",1
"Bit Mass, LLC",1
"Bit Planet Games, LLC",4
BIT-GEN,1
"Bit2Good Ug",1
"Bitbox Games",1
"Bitbox Ltd.",1
"Bitbox S.L.",2
"BitCake Studio",1
"bitComposer Games",24
"bitComposer Interactive GmbH",2
"BiteTheBytes GmbH",1
"BitFinity ",1
"Bithell Games",2
"Bitmen Studios",1
"BitMonster, Inc.",2
"BitSits Games",1
"bitSmith Games",2
"Black Carbon",1
"Black Chicken Studios, inc.",1
"Black Cloud Studios",4
"Black Curtain Studio",1
"Black Delta",1
"Black Dog ",1
"Black Forest Games",8
"Black Golem",1
"Black Jacket Studios",2
"Black Lime Studio",8
"Black Maple Games",1
"Black Market Games",2
"Black Mist Studios",1
"Black Pants Studio",3
