Publisher,Developer,count(*)
,"10tons Ltd",1
,"2 Player Productions",2
,"2K Marin",2
,2Play,1
,"2x2 Games",1
,"38 Studios",1
,"4-Panel Footprint",1
,"5 Lives Studios",3
,"7 Soft Pillows",1
,"800 North and Digital Ranch",2
,"9heads Game Studios",2
,"A Crowd of Monsters",1
,"A.J Starkey Enterprises",1
,"Acquire Corp.",3
,"Actoz Soft",1
,"Aldorlea Games",2
,"Aleksey Abramenko",1
,"Alexander Poysky",1
,"ALICE IN DISSONANCE",1
,Allegorithmic,2
,"Amanita Design",1
,"Amaranth Games",1
,"Andre Chagas Silva",1
,AndrewMD5,2
,"Andy Wallace",1
,"Animation Arts",1
,"Animu Game",1
,"Ankama Studio",1
,"Ant Workshop Ltd",1
,"Anthony Septim",1
,"Anti Crunch Studios",1
,Anticto,1
,"Ape Law",2
,"Arc System Works",1
,"Arcen Games, LLC",2
,"Archetype Global",1
,"Archive Entertainment",2
,"Argus Games",2
,"Arrowhead Game Studios",2
,"Ars Creativa",1
,Artdink,1
,"Artifice Studio",1
,"Arvi Teikari",1
,"Aspyr (Mac & Linux)",1
,"Aspyr (Mac and Linux)",1
,"Aspyr (Mac)",2
,"Aspyr (Mac, Linux)",1
,"Austin Wintory",1
,"Avalanche Studios",3
,"Avidly Wild Games",1
,"Awesome Games Studio",1
,"Axis Game Factory",1
,"Axis Game Factory LLC",2
,B-evil,1
,"Bad Games",1
,"Band "????"",1
,"Barkalar Games",1
,"Barry McCabe",1
,Beamdog,2
,"Beast Games",1
,"Berserk Games",7
,BetaDwarf,4
,"Biart Company LLC",1
,"Big Fat Alien",1
,"Big Huge Games",1
,bignic,1
,"Bit2Good Ug",1
,"BitCake Studio",1
,"Bithell Games",2
,"Black Lime Studio",3
,"Black Pants Game Studio",2
,"Black Shell Games",1
,"Blackfire Games",1
,BlackMuffin,1
,Bleank,1
,"Blender Institute",1
,"Blue Byte",4
,BlueByte,1
,"BlueLine Games",1
,Bocuma,1
,"Bohemia Interactive",1
,Bohfam,1
,Boogygames,1
,"Boreal Sun",1
,"Brace Yourself Games",5
,"Brain Candy",1
,"Brainbox Software",1
,Brainchild,1
,BrashMonkey,1
,Breakfall,1
,"Broken Rules",1
,"Brushfire Games",2
,"BSK Games",1
,"Burrito Studio",1
,Cabygon,1
,"Cameron Kunzelman",1
,"Camshaft Software",1
,Capcom,19
,"CAPCOM Co., Ltd.",6
,"Caravel Games",1
,"Carmine T. Guida",2
,Cat5Games,1
,"CAVE Interactive CO.,LTD.",2
,CCP,10
,"CD PROJEKT RED",13
,Celianna,1
,"Cellar Door Games",1
,"Chad Alan Cuddigan",1
,"Chad Close",1
,"Chainsawesome Games",2
,"Cherry Pop Games",14
,Chipzel,1
,"Choice of Games",2
,"Chris Chung",1
,"Christopher Escalante",1
,"CI Games",2
,"Cipher Prime Studios",2
,"Circle Five Studios",1
,"Ciro Continisio",2
,Cleverweek,3
,Clickteam,1
,"Cliffhanger Productions",4
,"Cobra Mobile",1
,"Cockroach Ink.",2
,CODEBLACK,1
,"Codemasters Birmingham",1
,"Codemasters Racing",3
,Codeusa,2
,"Coffee Stain Studios",2
,"Cold Beam Games",1
,"Cold Tea Studio",1
,"Colossal Order Ltd.",2
,"ComiPo! LLP",3
,ComixPlay,1
,ConcernedApe,1
,"Conflux Games",1
,"Confused Genius",1
,"Cool Mini or Not",4
,"Crafty Studios",1
,"Crankshaft Games",1
,Cranktrain,1
,"Creat Studios Inc",1
,"Creative Assembly",6
,"CreativeForge Games",1
,"Crimson Night",1
,"Critical Games",1
,"Cryptic Studios",2
,"Curious Panda Games",1
,"Cyanide Studio",1
,"Cybernetik Design",1
,"D3Publisher of America, Inc.",1
,"Daisy Maze Games",1
,"Dancing Dragon Games",2
,"Dapper Swine",1
,"Dark Gaia Studios",1
,"Dark Vale Games",6
,"Dark-Spot Studio",1
,"Darkest Hour Team",1
,"Darklight Games",1
,"Date Nighto",1
,"David Szymanski",3
,"Davioware and Quazi",1
,"Daybreak Game Company",2
,"Dead Mage",1
,"Deadbreed AB",4
,"Deck 13",1
,"Defiant Development",2
,Degica,5
,"Delve Interactive",1
,"Denis Galanin (mif2000)",2
,DeXP,1
,"Dharker Studio",1
,"Digital Confectioners",18
,"Digital Eel",1
,"Digital Extremes",5
,"Digital Furnace Games",2
,"Digital Reality",2
,"Digital Reality Software & Playbox",1
,Digitalmindsoft,1
,"Diminished Studios",1
,Dingaling,1
,"Disparity Games",1
,"Dissident Logic",1
,"Dominic Qwek Art",4
,DotEmu,1
,"Double Fine Productions",3
,"Dovetail Games",4
,"DPad Studios",1
,"Dreadlocks Ltd",1
,"Dreadlocks Ltd.",1
,"Dreamsite Games",1
,"Dry Cactus",1
,"DSK Studios Pvt. Ltd",3
,"DuCats Games Studio",1
,Duckbridge,1
,"Dumb and Fat Games",4
,"Dylan Fitterer",2
,"Dystopia Team",2
,"E-Line Media",1
,"Eagle Dynamics",2
,"Eat Create Sleep",2
,"Eclipse Games",2
,Edelweiss,1
,"Eden Industries",1
,"Edge Case Games Ltd.",1
,"Edge of Reality",6
,"Edmund McMillen",1
