years,loccountrycode_a,loccountrycode_b,n_friends
2008,AD,ES,68
2008,AE,CA,309
2008,AF,MN,561
2008,AG,BO,44
2008,AI,TN,18
2008,AL,SE,262
2008,AM,KR,70
2008,AN,NL,16
2008,AO,RU,61
2008,AQ,CA,257
2008,AR,CL,1718
2008,AS,FR,46
2008,AT,AT,2648
2008,AU,AU,12800
2008,AW,AW,39
2008,AZ,DZ,116
2008,BA,BA,425
2008,BB,BB,67
2008,BD,NO,68
2008,BE,BE,6086
2008,BF,GB,41
2008,BG,BG,269
2008,BH,SA,70
2008,BI,ES,10
2008,BJ,FR,40
2008,BM,SE,87
2008,BN,BN,69
2008,BO,CA,86
2008,BR,BR,15669
2008,BS,US,70
2008,BT,FI,110
2008,BV,US,24
2008,BW,US,35
2008,BY,RU,230
2008,BZ,US,32
2008,CA,CA,16723
2008,CC,RU,65
2008,CF,US,19
2008,CG,TW,65
2008,CH,NO,2218
2008,CI,NO,35
2008,CK,DE,30
2008,CL,CL,2097
2008,CM,SE,20
2008,CN,CN,3261
2008,CO,VE,323
2008,CR,US,94
2008,CU,BA,122
2008,CV,AU,20
2008,CX,GB,172
2008,CY,DE,193
2008,CZ,CZ,1724
2008,DE,DE,35744
2008,DJ,RU,69
2008,DK,DK,8587
2008,DM,DK,9
2008,DO,DO,137
2008,DZ,US,252
2008,EC,UM,59
2008,EE,EE,566
2008,EG,EG,62
2008,EH,FR,29
2008,ER,FR,13
2008,ES,ES,8978
2008,ET,CL,40
2008,FI,FI,5932
2008,FJ,SE,56
2008,FK,FR,15
2008,FM,US,22
2008,FO,FO,119
2008,FR,BT,26955
2008,FX,BE,3528
2008,GA,FR,17
2008,GB,GB,21732
2008,GD,US,32
2008,GE,GE,34
2008,GF,FX,27
2008,GH,GB,31
2008,GI,DE,22
2008,GL,DE,60
2008,GM,DK,15
2008,GN,ES,9
2008,GP,FR,42
2008,GQ,DE,14
2008,GR,BE,785
2008,GT,GT,84
2008,GU,US,25
2008,GW,PL,15
2008,GY,HU,12
2008,HK,HK,1511
2008,HM,US,90
2008,HN,US,30
2008,HR,DE,380
2008,HT,BR,35
2008,HU,HU,1491
2008,ID,ID,46
2008,IE,IE,1008
2008,IL,IL,857
2008,IN,IN,836
2008,IO,US,44
2008,IQ,DE,188
2008,IR,UA,62
2008,IS,NO,693
2008,IT,IT,3102
2008,JM,GB,589
2008,JO,SE,20
2008,JP,US,6115
2008,KE,US,23
2008,KG,FI,50
2008,KH,US,91
2008,KI,FR,9
2008,KM,ES,14
2008,KN,SE,12
2008,KR,KR,3226
2008,KW,KW,104
2008,KY,BR,25
2008,KZ,RU,330
2008,LA,FR,47
2008,LB,US,65
2008,LC,AU,28
2008,LI,LI,30
2008,LK,IT,54
2008,LR,US,3
2008,LS,MX,5
2008,LT,LT,775
2008,LU,LU,309
2008,LV,LV,494
2008,LY,FI,40
2008,MA,BY,316
2008,MC,HU,44
2008,MD,RU,35
2008,MG,FX,55
2008,MH,RU,18
2008,ML,FR,5
2008,MM,NO,4
2008,MN,FX,99
2008,MO,HK,115
2008,MP,RU,17
2008,MQ,US,32
